"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C44","0603","1968.504mil","2196.85mil","1968.504mil","2196.85mil","1941.004mil","2196.85mil","T","360.00","10u"
"C45","0603","1974.145mil","1724.409mil","1974.145mil","1724.409mil","1946.645mil","1724.409mil","T","360.00","10u"
"C46","0603","1968.504mil","1409.449mil","1968.504mil","1409.449mil","1941.004mil","1409.449mil","T","360.00","10u"
"C34","0402","2318.504mil","1352.362mil","2318.504mil","1352.362mil","2299.606mil","1352.362mil","T","360.00","100n"
"C35","0603","1336.614mil","696.063mil","1336.614mil","696.063mil","1336.614mil","668.563mil","B","90.00","4u7"
"C47","0603","2125.591mil","786.22mil","2125.591mil","786.22mil","2153.091mil","786.22mil","B","180.00","4u7"
"L6","0603","3149.606mil","169.291mil","3149.606mil","169.291mil","3181.693mil","169.291mil","B","180.00","BLM18SG121TN1D"
"C36","0402","2156.406mil","306.89mil","2156.406mil","306.89mil","2156.406mil","287.992mil","B","90.00","10n"
"L5","0603","2209.535mil","325.197mil","2209.535mil","325.197mil","2209.535mil","357.284mil","B","270.00","BLM18SG121TN1D"
"BAT1","KEYSTONE_CR1025","1543.307mil","169.291mil","1543.307mil","169.291mil","1543.307mil","169.291mil","B","360.00","3030"
"C42","KEMET_A","1836.614mil","652.559mil","1836.614mil","652.559mil","1781.102mil","652.559mil","T","360.00","100u"
"C51","0402","1945.866mil","759.843mil","1945.866mil","759.843mil","1945.866mil","778.74mil","T","270.00","1u"
"C52","0402","2491.339mil","495.276mil","2491.339mil","495.276mil","2510.236mil","495.276mil","T","180.00","100n"
"C53","0402","2893.701mil","700.787mil","2893.701mil","700.787mil","2912.598mil","700.787mil","T","180.00","6p"
"C54","0402","2893.701mil","448.819mil","2893.701mil","448.819mil","2912.598mil","448.819mil","T","180.00","6p"
"C55","0603","511.811mil","1346.457mil","511.811mil","1346.457mil","484.311mil","1346.457mil","T","360.00","10u"
"D3","SOT-23","884.744mil","529.528mil","884.744mil","529.528mil","847.342mil","566.929mil","B","270.00","BAV70LT3G"
"IC11","TSOP-6","1837.598mil","778.937mil","1837.598mil","778.937mil","1880.905mil","741.536mil","T","180.00","NCP380HSNAJAAT1G"
"Q3","SOT-363","225.59mil","1437.008mil","225.591mil","1437.008mil","200mil","1474.409mil","B","270.00","PMGD780SN"
"R31","0402","1559.055mil","1102.362mil","1559.055mil","1102.362mil","1577.953mil","1102.362mil","T","180.00","330R"
"R33","0402","2295.276mil","1043.701mil","2295.276mil","1043.701mil","2295.276mil","1062.598mil","T","270.00","4k7"
"R34","0402","2358.425mil","1043.701mil","2358.425mil","1043.701mil","2358.425mil","1062.598mil","T","270.00","4k7"
"R37","0402","1891.732mil","884.843mil","1891.732mil","884.843mil","1872.835mil","884.843mil","T","360.00","470R"
"R39","0402","153.937mil","1382.284mil","153.937mil","1382.284mil","153.937mil","1401.181mil","B","270.00","10k"
"R40","0402","311.811mil","1461.811mil","311.811mil","1461.811mil","311.811mil","1442.913mil","B","90.00","10k"
"R53","0402","1730.315mil","798.229mil","1730.315mil","798.229mil","1730.315mil","817.126mil","T","270.00","13k"
"D21","LED0603","1785.433mil","884.843mil","1785.433mil","884.843mil","1812.933mil","884.843mil","T","180.00","KPT-1608EC"
"Y1","ABS25","2921.26mil","574.803mil","2921.26mil","574.803mil","2812.992mil","511.811mil","T","360.00","32.768 kHz"
"R24","0603","2341.535mil","1933.071mil","2341.535mil","1933.071mil","2341.535mil","1960.571mil","T","270.00","0R"
